Title,Author,Fandom,Url,Kudos,Summary,Content
matchmaker matchmaker get off my back,laurenshappenstobemyhusband,Assassination Classroom,https://archiveofourown.org/works/23726431,"9,418","Summary: ""So what are you looking for in a girl?"" Kayano asks, eyes glinting. Karma pretends to ponder it. ""Oh, definitely someone short, with a high voice. Cool colored hair is nice, maybe green or blue. And pigtails. Definitely pigtails."" His taste is also decidedly male, but that’s none of their business.  ""Oh my god,"" Nakamura whispers to Fuwa. ""It's so obvious. He totally has a thing for Kayano.""   OR   The girls of class 3-E are determined to match Karma up with someone. Problem is, he's already taken.",Teen And Up Audiences No Archive Warnings Apply M/M Assassination Classroom Akabane Karma/Shiota Nagisa Akabane Karma & Nakamura Rio Akabane Karma & Kayano Kaede Akabane Karma Shiota Nagisa Kayano Kaede Nakamura Rio Class 3-E (Assassination Classroom) Alternate Universe - High School Valentine's Day Akabane Karma is a Little Shit Nagisa being Nagisa kayano exists it's a whole shebang nakamura tries her best but nothing can defeat the gay agenda Established Relationship karma has spidey senses confirmed but is also the BIG OBLIVIOUS Akabane Karma Has ADHD
BNHA and Others X Reader | NSFW/SFW Master Book,orphan_account,"僕のヒーローアカデミア | Boku no Hero Academia | My Hero Academia, Assassination Classroom, Pocket Monsters: Sword & Shield | Pokemon Sword & Shield Versions",https://archiveofourown.org/works/18041990,"7,902","Summary: Dreams can come true with all your favorite boys and girls here in my new shot section! (Mainly BNHA but others will be featured. Fluffy, angsty, cutesy, funny, horror fics, random scenarios, fever dreams, movies IT'S ALL HERE! Take your pick! Latest Chapter (Chapter 97): First Base (Katsuki Bakugou x F!Reader) NSFW  [Please read ALL chapter notes] NO LONGER TAKING REQUESTS DO NOT ASK FOR PREQUELS/SEQUELS/MULTIFICS/ADD ONS Join our discord and receive the perks! Rewards, art, updates, and special chapters!  PLAGIARISM IS INTOLERABLE! DO NOT REPOST MY WORK ANYWHERE",Explicit Underage Graphic Depictions Of Violence Major Character Death F/M M/M F/F Multi 僕のヒーローアカデミア | Boku no Hero Academia | My Hero Academia Assassination Classroom Pocket Monsters: Sword & Shield | Pokemon Sword & Shield Versions Kirishima Eijirou/Reader Bakugou Katsuki/Reader Todoroki Shouto/Reader Midoriya Izuku/Reader Kaminari Denki/Reader Amajiki Tamaki/Reader Dabi (My Hero Academia)/Reader Shinsou Hitoshi/Reader Shigaraki Tomura | Shimura Tenko/Reader Aizawa Shouta | Eraserhead/Reader Toogata Mirio/Reader Monoma Neito/Reader Shindou You/Reader Hawks (My Hero Academia)/Reader Chisaki Kai | Overhaul/Reader Akabane Karma/Reader Yagi Toshinori | All Might/Reader Bakugou Katsuki/Kirishima Eijirou Bakugou Katsuki/Midoriya Izuku Bakugou Katsuki/Midoriya Izuku/Todoroki Shouto Bakugou Katsuki/Todoroki Shouto Kaminari Denki/Todoroki Shouto Bakugou Katsuki/Kirishima Eijirou/Reader Amajiki Tamaki/Toogata Mirio The Author/Reader Yoarashi Inasa/Reader Tokoyami Fumikage/Reader Todoroki Natsuo/Reader Ojiro Mashirao/Reader Tetsutetsu Tetsutetsu/Reader Awase Yousetsu/Reader Kaibara Sen/Reader Kuroiro Shihai/Reader Honenuki Juuzou/Reader Ashido Mina/Reader Uraraka Ochako/Reader Toga Himiko/Reader Hatsume Mei/Reader Jirou Kyouka/Reader Yoayoarozu Momo/Reader Asui Tsuyu/Reader Hagakure Tooru/Reader Hadou Neijire/Reader Kendou Itsuka/Reader Shiozaki Ibara/Reader Tokage Setsuna/Reader Pony Tsunotori/Reader Kodai Yui/Reader Kayama Nemuri | Midnight/Reader Toyomitsu Taishiro | Fat Gum/Reader Yarrow | Milo/Reader Kirishima Eijirou/Midoriya Izuku Bakugou Katsuki/Kirishima Eijirou/Midoriya Izuku/Reader Midoriya Izuku/Todoroki Shouto/Reader Bakugou Katsuki/Midoriya Izuku/Reader Reader Bakugou Katsuki Kirishima Eijirou Todoroki Shouto Midoriya Izuku Kaminari Denki Amajiki Tamaki Shinsou Hitoshi Shigaraki Tomura | Shimura Tenko Dabi (My Hero Academia) Toogata Mirio Aizawa Shouta | Eraserhead Monoma Neito Shindou You Hawks (My Hero Academia) Chisaki Kai | Overhaul Akabane Karma Yagi Toshinori | All Might The Author | Kat Jacklynn Yoarashi Inasa Tokoyami Fumikage Todoroki Natsuo Todoroki Touya Ojiro Mashirao Tetsutetsu Tetsutetsu Awase Yousetsu Kendou Itsuka Yaoyorozu Momo Ashido Mina Uraraka Ochako Jirou Kyouka Asui Tsuyu Hadou Nejire Shiozaki Ibara Kaibara Sen Kuroiro Shihai Honenuki Juuzou Tokage Setsuna Tsunotori Pony Kodai Yui Kayama Nemuri | Midnight Toga Himiko Hatsume Mei Hagakure Tooru Toyomitsu Taishirou | Fat Gum Yarrow | Milo Smut Domestic Fluff Praise Kink Biting Other Additional Tags to Be Added Additional Warnings In Author's Note Edging Kinky Shit Rough Oral Sex Damn Shyness Comfort Sex Dom/sub Orgasm Delay/Denial Choking Swearing Twisted and Fluffy Feelings Nicknames Porn with Feelings Plot What Plot/Porn Without Plot Angst and Porn Fluff and Smut Tooth-Rotting Fluff Degradation Kink list in first chapter First chapter is where you write a request Aftercare Rope Bondage Time Shenanigans Double Penetration Subspace Dabi is a Todoroki Aged-Up Character(s) S&M Impregnation Begging Marking Dirty Talk Face-Fucking Threesome - F/M/M Todoroki Shouto is a Dork Cute Todoroki Shouto Tattoo Kink Semi-Public Sex Morning Sex Daddy Kink Sex Toys Sexual Roleplay Spanking Consensual Non-Consent Group Sex Bukkake Double Penetration in Two Holes Birthday Sex Temperature Play Erotic Electrostimulation Polyamory Protective Kirishima Eijirou Anal Fingering Cute Midoriya Izuku tags will be added as chapters go up Sibling Incest Collars Leashes Breeding Nightmares Emotional Hurt/Comfort Dorks in Love Cuddling & Snuggling Implied/Referenced Rape/Non-con Implied/Referenced Torture Mind Break Headcanon Piercings Crossdressing Animal Traits The Author Has Issues Sharing a Bed Duel Quirks Drinking Knifeplay Dancing Horror Deaf Character Camboys Camgirl Gender-neutral Reader Masturbation Medical Kink Autism Spectrum Military Kink Lace Lingerie male lingerie dating app Blood Kink Marijuana Anal Sex Ass Play monster cock ass eating Hybrid Characters Size Differnce Crying Kink Cock Rings Animal Transformation Hybrids Disney Movies Loss of Virginity Desk Sex Under-Desk Blow Jobs Teratophilia
5 times izuku was a badass and the 1 time he explained why,iinterstellar,"僕のヒーローアカデミア | Boku no Hero Academia | My Hero Academia, Assassination Classroom",https://archiveofourown.org/works/22847731,"6,276","Summary: izuku starts attending ua after a year in kunugigaoka, only to find that the skills he gained in the assassination classroom are useful in hero training. or 5 times where izuku scares class 1-a students with his assassination skills and the 1 time that he explained where he got them.",Teen And Up Audiences No Archive Warnings Apply F/F F/M Gen M/M 僕のヒーローアカデミア | Boku no Hero Academia | My Hero Academia Assassination Classroom Class 1-A & Midoriya Izuku Midoriya Izuku/Everyone Midoriya Izuku/Shinsou Hitoshi implied anyway - Relationship Midoriya Izuku & Uraraka Ochako Bakugou Katsuki & Midoriya Izuku Jirou Kyouka/Yaoyorozu Momo Hagakure Tooru/Ojiro Mashirao Midoriya Izuku Shinsou Hitoshi Uraraka Ochako Bakugou Katsuki Class 1-A (My Hero Academia) Kayano Kaede Akabane Karma Shiota Nagisa they’re there but not massively Shinsou Hitoshi Replaces Mineta Minoru BAMF Midoriya Izuku Midoriya Izuku Has One for All Quirk Midoriya Izuku was in Class 3-E Assassination classroom AU 5+1 Things Midoriya Izuku Needs A Hug Izuku is a badass and everyone is shocked: the fic Cute Midoriya Izuku Midoriya Izuku is baby confirmed Alternate Universe - Canon Divergence Alternate Universe - Assassination Classroom
not all who wander are decent human beings,ryuuzaou,Assassination Classroom,https://archiveofourown.org/works/6330730,"5,496","Summary: Karma Akabane is desperate for a break in his routine. That's when someone jumped into his car, pressed a gun to his side, and told him to drive. Technically, it's exactly what he wanted. Just not what he expected.",Explicit No Archive Warnings Apply M/M Assassination Classroom Akabane Karma/Shiota Nagisa Akabane Karma Shiota Nagisa Alternate Universe Running From The Cops i feel like 'running from the cops' is a tag more people should use Hitman Nagisa Businessman Karma Frottage Size Difference i'd say size kink but..... it isnt really karma brings out the snark in nagisa
To Save the World,taetaenoway,"Assassination Classroom, 僕のヒーローアカデミア | Boku no Hero Academia | My Hero Academia",https://archiveofourown.org/works/17265155,"5,363","Summary: Midoriya Izuku just wanted to escape Bakugou's bullying and achieve his dream of attending the prestigious UA. He assumed the cutthroat Kunugigaoka Junior High would prepare him for that. Too bad he was immediately booted to class 3-E for being quirkless. Shinsou Hitoshi planned for his time at Kunugigaoka Junior High to be spent under the radar. He kept his grades average and interactions with others minimal. But when an incident occurs that requires him to use his quirk at school unauthorized (even though he did it to help another student), he finds himself suspended and, even worse, in E-class. When the moon exploded due to the dangerous villain known as the Tentacle, the last thing anyone expected was for him to want to teach 3-E. Now Izuku, Hitoshi and their classmates are expected to become assassins, kill the number one villain, and save the earth from the same fate.",Teen And Up Audiences Creator Chose Not To Use Archive Warnings Gen M/M F/M F/F Assassination Classroom 僕のヒーローアカデミア | Boku no Hero Academia | My Hero Academia Midoriya Izuku & Shinsou Hitoshi Class 3-E & Shinsou Hitoshi Class 3-E & Midoriya Izuku Minor or Background Relationship(s) Midoriya Izuku Shinsou Hitoshi Korosensei (Assassination Classroom) Shiota Nagisa Akabane Karma Irina Jelavić Karasuma Tadaomi Class 3-E (Assassination Classroom) Lovro (Assassination Classroom) Midoriya Inko Bakugou Katsuki Asano Gakushuu Asano Gakuhou Assassination and Quirks BAMF Midoriya Izuku BAMF Shinsou Hitoshi Quirkless Midoriya Izuku Implied/Referenced Bullying Shinsou and Midoriya in Class 3-E Class 3-E Bonding Midoriya and Shinsou are hero buddies who wanna save the world Korosensei is the Number One Villain Kayano Kaede Does Not Exist Quirk Discrimination (My Hero Academia) Kidnapping Implied/Referenced Child Neglect Shinsou Hitoshi-centric Midoriya Izuku-centric
just an outsider in the end.,リリス - riris (arurun),Assassination Classroom,https://archiveofourown.org/works/18477226,"5,355","Summary: ""Look, I really didn't mind the fact that I died and reincarnated into Ansatsu Kyoushitsu. I didn't really mind that you gave me a hole in the heart. That was a real dick move, but I didn't complain. So god, Void, whatever, I'm sorry I punched a student. Please recall my demotion into Class E. Please, the moon literally just exploded and I don't wanna be there!"" Kuma-sensei did not belong here. He knew better than anyone else that he was just an outsider.",General Audiences Creator Chose Not To Use Archive Warnings Major Character Death Gen Assassination Classroom Asano Gakuhou & Original Character(s) Karasuma Tadaomi Korosensei (Assassination Classroom) Irina Jelavić Asano Gakuhou Original Male Character(s) Class 3-E (Assassination Classroom) God of Death (Assassination Classroom) Assassination Classroom Ensemble References to Depression Sick Character Terminal Illnesses Neglect oc is a teacher in 3-E Breaking the Fourth Wall Fluff and Angst No Romance Post-Traumatic Stress Disorder - PTSD Implied/Referenced Character Death Mild Language Slow Burn Class 3-E as Family (Assassination Classroom) Protective Class 3-E (Assassination Classroom) Language of Flowers Original Character-centric Canonical Character Death Graphic Depictions of Illness Families of Choice The EXTRAs do not subscribe to these tags btw
Assassin Hero!,OwlyPersona125,"Assassination Classroom, 僕のヒーローアカデミア | Boku no Hero Academia | My Hero Academia, Ouran High School Host Club - All Media Types",https://archiveofourown.org/works/28248798,"5,276","Summary: Midoriya's an assassin. An assassin from Class 3e of course! He's gotten into UA and is in Class 1a! Now all that's left to do is to occasionally do some missions for Karasuma, text Nagisa, Karma, and Kayano in the 'Color Fam' group chat, and become a hero! AKA Midoriya blows everyone away while Bakugou wonders what the hell happen to him when he moved away and got into Kunugigiako Junior High. This work is not related to my other work, Assassins and Heroes: The Field Trip. I mean, it might when we get going, but still. It'll probably diverge so like yeah. I do not own Mha or Assassination Classroom Cross-posted on Wattpad",General Audiences Creator Chose Not To Use Archive Warnings No Archive Warnings Apply Other F/M Assassination Classroom 僕のヒーローアカデミア | Boku no Hero Academia | My Hero Academia Ouran High School Host Club - All Media Types Class 3-E (Assassination Classroom) & Midoriya Izuku Midoriya Izuku & Shiota Nagisa Akabane Karma & Midoriya Izuku Karasuma Tadaomi & Midoriya Izuku Korosensei (Assassination Classroom) & Midoriya Izuku Kayano Kaede & Midoriya Izuku Class 1-A & Midoriya Izuku Aizawa Shouta | Eraserhead & Class 1-A Irina Jelavić/Karasuma Tadaomi Kanzaki Yukiko/Sugino Tomohito Midoriya Izuku Shiota Nagisa Akabane Karma Kayano Kaede Irina Jelavić Karasuma Tadaomi Class 3-E (Assassination Classroom) Class 1-A (My Hero Academia) Yagi Toshinori | All Might Snipe (My Hero Academia) Aizawa Shouta | Eraserhead Bakugou Katsuki Todoroki Shouto Uraraka Ochako Iida Tenya Asui Tsuyu Kirishima Eijirou Kaminari Denki Ashido Mina Sero Hanta Tokoyami Fumikage Kouda Kouji Shouji Mezou Yaoyorozu Momo Aoyama Yuuga Satou Rikidou Mineta Minoru Jirou Kyouka Ojiro Mashirao Hagakure Tooru Kayama Nemuri | Midnight Yamada Hizashi | Present Mic Lunch-Rush (My Hero Academia) Pro Heroes (My Hero Academia) Assassin Midoriya Izuku Gun Wielding Midoriya Izuku Midoriya Izuku is a Ray of Sunshine Midoriya Izuku Needs A Hug BAMF Midoriya Izuku Parental Aizawa Shouta | Eraserhead I'm Bad At Tagging Midoriya Izuku is a Problem Child Midoriya Izuku is a Little Shit Quirkless Midoriya Izuku The Author Regrets Nothing You readers can suffer jk jk There won't be too much angst
"Pick Me Up, Take Me Out",firesandpixies,Assassination Classroom,https://archiveofourown.org/works/7610506,"5,000",Summary: Karma annoys Nagisa with a multitude of cheesy pick-up lines.,General Audiences No Archive Warnings Apply M/M Assassination Classroom Akabane Karma/Shiota Nagisa Akabane Karma & Shiota Nagisa Isogai Yuuma Kayano Kaede Sugino Tomohito Bad Pick-Up Lines Alternate Universe - Canon Divergence Fluff and Humor Fluff Attempt at Humor Boys Being Cute they are so cute they hurt my soul why are they not canon they went to space together come on
School watches Assassination Classroom,TheSteinsGateFormula,Assassination Classroom,https://archiveofourown.org/works/24225712,"4,714","Summary: Ritsu travels twenty years into the past to try to undo the apocalypse, but due to an unforeseen error, the whole of the third year of Kunugigaoka Junior High School has been brought along for the ride and are now trapped in a time-bubble for three days...things weren't off to a great start.",Teen And Up Audiences No Archive Warnings Apply Assassination Classroom Irina Jelavić/Karasuma Tadaomi Korosensei (Assassination Classroom) Akabane Karma Shiota Nagisa Kayano Kaede Okuda Manami Kataoka Megu Isogai Yuuma Maehara Hiroto Takebayashi Koutarou Sugino Tomohito Asano Gakushuu Sakakibara Ren Araki Teppei Seo Tomoya Koyama Natsuhiko Terasaka Ryouma Mimura Kouki Okajima Taiga Kanzaki Yukiko Irina Jelavić Karasuma Tadaomi Class A OC's who have personalities Main Campus Students needing a de-brainwash Nakamura Rio Ritsu (Assassination Classroom) Fuwa Yuzuki Hara Sumire Yoshida Taisei Muramatsu Takuya Ono Kensaku OC Teachers who got pulled into the ride Kimura Masayoshi Sugaya Sousuke Yada Touka Okano Hinata Hayami Rinka Chiba Ryuunosuke Hazama Kirara Shindou Kazutaka Character Study Original Character(s) Characters React to Fandom Emotional Hurt/Comfort Emotional/Psychological Abuse Comedy Apocalypse Prevented These kids have to learn how to get along Breaking the Fourth Wall Characters React Spoilers Anime/Manga Fusion Characters watch their own show Implied/Referenced Child Abuse
Another Assassination Attempt,"mihori, orphan_account",Assassination Classroom,https://archiveofourown.org/works/4166034,"4,481",Summary: Karma thought of another really good assassination plot and to make it happen he needs Nagisa's help.,Explicit Underage M/M Assassination Classroom Akabane Karma/Shiota Nagisa Akabane Karma Shiota Nagisa Koro Sensei Plot What Plot/Porn Without Plot NSFW Anal Sex First Time Kissing Smut
