Title,Author,Fandom,Url,Kudos,Summary,Content
Don’t Drink Unlabelled Potions | End Racism In The OTW,"Adapttoeverything34 (Everyoneisheretoday5), Everyoneisheretoday5",Amphibia (Cartoon),https://archiveofourown.org/works/31155674,"4,949","Summary: When Marcy drinks a love potion, Anne and the Plantars have to travel to Wartwood to get Maddie, and find a cure.","Teen And Up Audiences No Archive Warnings Apply F/F Amphibia (Cartoon) Anne Boonchuy/Marcy Wu Anne Boonchuy Marcy Wu Hopadiah ""Hop Pop"" Plantar Sprig Plantar Polly Plantar Maddie Flour Walliam ""One-Eyed Wally"" Ribbiton love potions misuse of magic Anne being very flustered and slightly annoyed based off an au I saw on twitter Maddie’s love potion needs one of those drug commercials with all the side effects Marcy being gay Anne swears but only in her head Angst? Excessive amounts of worrying and repressing that worry marcy is Slowly Getting Taken Over By Plants Angst Lots of crying in chapter 7"
these wild things,Reyna_is_epic,Amphibia (Cartoon),https://archiveofourown.org/works/36281308,"3,466","Summary: Sasha let out a growl and lunged, catching the creature, whatever it was, by its hood. She wasn't about to let it get away, not without a fight. ""Get over here!"" The hood comes down, but before she can get a good look at it, something slams against the side of Sasha's face. Her hand is still in the hood, though, and so they go down together. A body landing atop Sasha's and pressing her into the dirt. Something presses against her throat-- probably the same thing that hit her in the face-- and she's forced to look up into the eyes of her attacker or risk getting her wind-pipe crushed like a twig. ""Anne?!"" She wheezes. ""GRAAH!"" Anne snarls, pupils the size of pinpricks. _ Anne never makes it to Wartwood. At least, not on her own.",Teen And Up Audiences Graphic Depictions Of Violence F/F Amphibia (Cartoon) Anne Boonchuy/Sasha Waybright/Marcy Wu Anne Boonchuy/Sasha Waybright Anne Boonchuy/Marcy Wu Sasha Waybright/Marcy Wu Anne Boonchuy & Sasha Waybright & Marcy Wu Anne Boonchuy & Domino 2 (Disney: Amphibia) Grime (Disney: Amphibia) & Sasha Waybright Anne Boonchuy Domino 2 (Disney: Amphibia) Sasha Waybright Marcy Wu Grime (Disney: Amphibia) Andrias (Disney: Amphibia) Olivia (Disney: Amphibia) Sprig Plantar Angst Alternate Universe - Canon Divergence Moth Manne Au Anne gets adopted by feral cats au yes - Freeform you read that correctly ghost of a beta Hurt No Comfort Did I mention angst because Heavy Angst Graphic depictions of violence - Freeform not a joke Anne Boonchuy Needs a Hug and she gets one from cats children deserve better Pain Trauma Going Feral sasha gets smacked upside the head with character developement gotta beat it into the kid with a metal bat Marcy too JUST less Calamity Box Calamity powers calamity gems Heart Wit Strength Animal Harm be warned
Player Vs. Player,Reyna_is_epic,Amphibia (Cartoon),https://archiveofourown.org/works/26435305,"2,641","Summary: This was too far, way, way too far. Sasha felt like she was going to be sick, there was no way this had happened, right? No way she’d become so invested in this stupid little game of hers and Anne’s that she’d actually… actually… Anne’s body shook- no, twitched- violently. A sob pulling at her ribcage before cutting off in a pained wheeze. Sasha could only stare at the blood pooling beneath her feet. She took a step forward, hand raised tentatively. “A-Anne…. I-I-” __ In which things go too far.","Teen And Up Audiences Graphic Depictions Of Violence F/F Amphibia (Cartoon) Anne Boonchuy & Sasha Waybright & Marcy Wu Anne Boonchuy/Marcy Wu Sasha Waybright & Marcy Wu Anne Boonchuy & Sprig Plantar Anne Boonchuy & Hopadiah ""Hop Pop"" Plantar Sasha Waybright/Anne Boonchuy - Onesided Anne Boonchuy Sasha Waybright Marcy Wu Sprig Plantar Hopadiah ""Hop Pop"" Plantar Other Additional Tags to Be Added Angst Violence I dunno I was just feeling violent today You might cry idk - Freeform sword fights Sword Fighting BAMF Marcy Wu Protective Marcy Wu Sasha x Consequences Mild Gore I just wanted to feel something no beta we die like men Hurt/Comfort Found Family Trauma Sleep Deprivation Whump Nausea yeah I didn't think I'd be discussing that so much big sad Sad Sasha Hours sad anne hours sad marcy hours sad everybody hours Heavy Angst Slow Burn Multiple Pov trigger warning exploration of dark themes Relationship boundaries Growth Implied/Referenced Self-Harm Tread With Caution Alternate Universe - Canon Divergence Written pre-season 2b Post-Traumatic Stress Disorder - PTSD"
A Witch in Wartwood,Discet,Amphibia (Cartoon),https://archiveofourown.org/works/36914575,"2,404","Summary: Marcy Wu has found her way to a new world and she couldn't be more excited. Things might not be going entirely to plan... separated from her friends, lost in a hostile bog full of monsters, and feared by the locals... BUT what's an adventure without a little adversity, right? This is an AU where the calamity trio ended up in swapped starting locations in Amphibia, primarily following Marcy and her adapting to life in Wartwood. Season 1 Finished","Teen And Up Audiences No Archive Warnings Apply F/F Gen Amphibia (Cartoon) Anne Boonchuy/Marcy Wu Sprig Plantar & Marcy Wu Polly Plantar & Marcy Wu Hopadiah ""Hop Pop"" Plantar & Marcy Wu Sasha Waybright & Marcy Wu Maddie Flour & Marcy Wu Sprig Plantar & Ivy Sundew Sprig Plantar/Ivy Sundew Marcy Wu & Ivy Sundew Maddie Flour & Sprig Plantar Sasha Waybright & Yunan Maddie Flour & Ivy Sundew Maddie Flour & Sprig Plantar & Ivy Sundew Anne Boonchuy & Valeriana Marcy Wu Sprig Plantar Polly Plantar Hopadiah ""Hop Pop"" Plantar Maddie Flour Ivy Sundew Sasha Waybright Anne Boonchuy Yunan (Disney: Amphibia) Andrias (Disney: Amphibia) Grime (Amphibia) Valeriana (Amphibia) Felicia Sundew Found Family AU - Swapped Start Marcy as Main Character Eventual Romance Canon-Typical Violence Canon-Typical Angst and Drama Canon-typical shenanigans Parallels Season 1 Friendship LGBTQ Themes Slow Build Feelings Realization Lesbian Marcy Wu Calamity Powers (Amphibia) Hurt/Comfort Lesbian Anne Boonchuy"
The Sasharcy Bible,Melah94,Amphibia (Cartoon),https://archiveofourown.org/works/31953313,"2,388","Summary: A collection of sasharcy sfw/nsfw one shots. Some future sashannarcy stuff. More tags to be added. Don't be intimated by all the tags, there is something for everyone here. *completed*",Explicit Graphic Depictions Of Violence Underage Rape/Non-Con F/F Multi Amphibia (Cartoon) Sasha Waybright/Marcy Wu Anne Boonchuy/Sasha Waybright/Marcy Wu Anne Boonchuy/Marcy Wu Anne Boonchuy/Sasha Waybright Sasha Waybright Marcy Wu Anne Boonchuy Maggie (Disney: Amphibia) Bullying Autistic Marcy Wu Established Relationship Racism Ableism Slurs Panic Attacks Dry Humping Clothed Sex Aged-Up Character(s) Semi-Public Sex Scents & Smells Anime References body image issues Phone Sex Filming Femdom Orgasm Delay/Denial Face-Sitting Sex Toys Strap-Ons Praise Kink Underage Drinking Underage Smoking Mirror Sex Abusive Parents Hurt/Comfort Foot Fetish Tribadism Shower Sex Desperation Play Humiliation Sadism Masochism Voyeurism Mutual Masturbation Omorashi Recreational Drug Use Angst Anal Sex Choking Possessive Sex Foot Jobs Scent Kink Armpit Kink Writing on the Body Humor Aftercare Safewords Rough Sex Somnophilia Bladder Control Overstimulation Menstrual Sex Nipple Play Mommy Kink Watersports Shock Collars Mind Control Psychological Torture Futanari Mildly Dubious Consent Consensual Non-Consent Pothead Marcy
We're the Perfect Blend,Kayseix,Amphibia (Cartoon),https://archiveofourown.org/works/38437300,"2,325","Summary: ""The customer laughed again, holding her drinks in her hands. Sasha and Marcy watched as she headed out towards the door and opened it with her back before stopping, 'The name’s Anne by the way, thank you for the coffee!'""  ""Anne.""  ",General Audiences Creator Chose Not To Use Archive Warnings F/F Other Amphibia (Cartoon) Anne Boonchuy/Sasha Waybright/Marcy Wu Anne Boonchuy/Marcy Wu Anne Boonchuy/Sasha Waybright Anne Boonchuy & Marcy Wu Anne Boonchuy & Sprig Plantar Sasha Waybright Marcy Wu Anne Boonchuy Sprig Plantar Polly Plantar Alternate Universe - Coffee Shops & Cafés Sasha Waybright Has BPD | Borderline Personality Disorder Autistic Marcy Wu Trans Anne Boonchuy Polyamory
A Theory of Butterflies and Other Insects,CalamityUnlocked,Amphibia (Cartoon),https://archiveofourown.org/works/31849000,"2,141","Summary: The smallest change might ripple the world with unforeseen consequences. The flap of a butterfly's wings might cause a tornado. The love and affection a person does or does not receive might transform them for the better – or for the worse. Three girls each land in a place meant for another. The script is flipped, the story changed. Most players settle comfortably and ignorantly into their new roles, while others scramble to fulfill a destiny not meant for them. An ancient prophecy was inaccurate. Pieces fell into the wrong place. What follows can only be described as calamity.","Teen And Up Audiences Creator Chose Not To Use Archive Warnings Gen Amphibia (Cartoon) Sasha Waybright/Marcy Wu Anne Boonchuy Marcy Wu Sasha Waybright Sprig Plantar Hopadiah ""Hop Pop"" Plantar Polly Plantar Grime (Disney: Amphibia) Andrias (Disney: Amphibia) Olivia (Disney: Amphibia) Alternate Universe - Role Reversal Angst Hurt/Comfort Character Study Violence Harm to Children Political Intrigue Power Dynamics Trauma Multiple Pov Worldbuilding Ensemble Cast you fucked up a perfectly good prophecy is what you did Happy Ending"
not delivered.,camomile_t,Amphibia (Cartoon),https://archiveofourown.org/works/31651571,"2,067",Summary: Anne is finally home. It sure doesn’t feel like it.,"Mature Graphic Depictions Of Violence F/F Amphibia (Cartoon) Anne Boonchuy/Marcy Wu Anne Boonchuy & Sasha Waybright Anne Boonchuy & Sprig Plantar Sasha Waybright & Marcy Wu Anne Boonchuy Marcy Wu Sasha Waybright Hopadiah ""Hop Pop"" Plantar Sprig Plantar Polly Plantar Texting baby’s first fic be gentle Angst Pining Eventual Fluff Hurt No Comfort for now :) Post-Episode: s02e20 True Colors (Disney: Amphibia) Spoilers I SAID SPOILERS Plot Anne Boonchuy Needs a Hug Sasha Waybright Needs A Hug Childhood Friends Mutual Pining I think? Hurt/Comfort Sleepy Cuddles Fluff Fluff and Angst Autistic Marcy Wu sasha gets a redemption arc because i said so Marcy Wu Needs a Hug and a necromancer yes beta (calamity-unlocked/honeycharmer/trevorendeavors/snoopy_writes) we die like marcy"
you look too much like me,lesbug,Amphibia (Cartoon),https://archiveofourown.org/works/36579145,"1,951","Summary: [DISCONTINUED]  Marcy looked at it - or rather, her - and felt a sense of familiarity. Their bodies were almost completely alike. Two arms, five fingers, two legs, two eyes, a nose, a mouth, a head of hair, but not in the way amphibians are. Not at all. Taller than a frog but not as broad as a toad. A human. Marcy gulped. ""Your fingers.. aren't webbed?"" --- OR, Marcy has lived in Amphibia their whole life. They've lived here for years, and still never met a single thing that looks even remotely like them, until two humans show up out of nowhere.",General Audiences No Archive Warnings Apply Major Character Death F/F Multi Amphibia (Cartoon) Anne Boonchuy/Sasha Waybright/Marcy Wu Anne Boonchuy/Marcy Wu Sasha Waybright/Marcy Wu Anne Boonchuy/Sasha Waybright Anne Boonchuy & Sasha Waybright & Marcy Wu Olivia/Yunan (Disney: Amphibia) Olivia & Marcy Wu & Yunan (Disney: Amphibia) Marcy Wu Anne Boonchuy Sasha Waybright Olivia (Disney: Amphibia) Yunan (Disney: Amphibia) sashannarcy marcanne sasharcy Sashanne sashannearcy Alternate Universe They/Them Pronouns for Marcy Wu She/Her Pronouns for Anne Boonchuy He/Him Pronouns for Sasha Waybright Angst Light Angst Emotional Hurt/Comfort Hurt/Comfort Angst and Hurt/Comfort Getting brainrot over this AU He/She Pronouns for General Yunan
Watching Amphibia Redux,"AstroZ, beckettlovescastlealways, Marcanne4Life, Naho_Saenoki, rainymars, xm4rcyx",Amphibia (Cartoon),https://archiveofourown.org/works/39801960,"1,863","Summary: Anne and friends are trapped in a theater, and in order to leave they have to watch her life. Anne's not entierly a fan of that plan edit/continuation of randombiwriter's watching Amphibia","Teen And Up Audiences No Archive Warnings Apply F/F Other Amphibia (Cartoon) Anne Boonchuy/Sasha Waybright/Marcy Wu Anne Boonchuy & Hopadiah ""Hop Pop"" Plantar & Polly Plantar & Sprig Plantar Anne Boonchuy & Anne Boonchuy's Father & Anne Boonchuy's Mother Grime & Sasha Waybright Olivia & Marcy Wu & Yunan Olivia/Yunan (Amphibia) Anne Boonchuy Sasha Waybright Marcy Wu Sprig Plantar Hopadiah ""Hop Pop"" Plantar Polly Plantar Anne Boonchuy's Parents Grime (Amphibia) Olivia (Amphibia) Yunan (Amphibia) Residents of Wartwood (Amphibia) Human characters - Character Anne Boonchuy Needs a Hug Sasha Waybright Needs A Hug Marcy Wu Needs a Hug Grime is Sasha Waybright's Parent Olivia and Yunan are Marcy Wu's Parents Watching the Show mentions of disordered eating Post-Traumatic Stress Disorder - PTSD They all need therapy Trans Anne Boonchuy Marcy Wu has ADHD Autistic Marcy Wu Polyamory Nonbinary Marcy Wu They/Them Pronouns for Marcy Wu She/Her Pronouns for Anne Boonchuy They/Them Pronouns for Terri (Amphibia) the journal exists we're just cherrypicking it to hell and back Minor Spoilers for Marcy's Journal: A Guide to Amphibia accidental misgendering Implied/Referenced Self-Harm"
