Title,Author,Fandom,Url,Kudos,Summary
There May Be Some Collateral Damage,metisket,Bleach (Anime & Manga),https://archiveofourown.org/works/5030443,"14,924","Summary: Ichigo’s been ordered to go undercover at a magic school to bodyguard a kid named Harry Potter, and this would be fine, except that he’s about as good at bodyguarding as he is at magic. And he considers it a good day, magic-wise, if he hasn’t set anything on fire."
Retorta (iterum est),Adain (pocketTherapist),Bleach (Anime & Manga),https://archiveofourown.org/works/14865290,"9,158","Summary: Kisuke is not having a good day. Aizen is about to have a much worse one, though."
Second Chances,glacis,Bleach (Anime & Manga),https://archiveofourown.org/works/4591674,"8,266","Summary: Ichigo trains in his soul and keeps his secrets, because the Hōgyoku is just a baby, Muramasa is the most loyal being he has ever met, Shiro is a troublemaker, Zangetsu’s a truth-teller, Ichigo isn’t as trusting as he used to be, and they all deserved a second chance."
Castle Toppler,Saturn_Effervescent,Bleach (Anime & Manga),https://archiveofourown.org/works/35841298,"7,016","Summary: We stared each other down, my eyes dark against his laughing brown. After all these lives, all these timelines, I finally had him before me. ""Aizen."" A promise off my lips as my comrades and loved ones fall around me, tulip petals in that first crisp winter night. Every time a new name falls from his mouth, a bit of me crumbles away. Every time I'm forgotten, a piece of me is misplaced. It's all I can do to stand against the flow of time, crumbling, chasing the man who lays the castle foundation out brick by brick. Finished/Completed. Art in every chapter."
Cat Dandy 🐆,murderlight,Bleach (Anime & Manga),https://archiveofourown.org/works/13916556,"6,929","Summary: “Grimmjow Jaegerjaquez is dead,” Nel said calmly, staring him straight in the eye. “He died inside Askin’s final trap, and his body was never recovered.” Grimmjow's fight with Askin Nakk le Vaar leads to unexpected consequences—and an old life he never wanted to see again. Ichigo's victory over Yhwach sees him lose more than he gained. Or: Grimmjow is a panther adjuchas again, and Ichigo has no goddamn idea."
The Unfought,Glaux_Bryonia,Bleach (Anime & Manga),https://archiveofourown.org/works/10745001,"6,640","Summary: “Like you’re one to talk,” Kensei shoots back grumpily. “Bet you didn’t see your Lieutenant going around preparing to murder evil traitors, now did you?” “I told ye he was up t’ something.” “Not this kind of something.” (Follow-up for the lovely story Bait and Switch by Blackkat, who was kind enough to give me permission to write this.)"
Bromance,blackkat,Bleach (Anime & Manga),https://archiveofourown.org/works/2042229,"6,388","Summary: In which Ichigo and Rukia are bros, and no one gets it."
certum est quia impossible est (it is certain because it is impossible),sinequanon,Bleach (Anime & Manga),https://archiveofourown.org/works/10657428,"6,348","Summary: Ichigo winds up in the past due to an unfortunate (and painfully lethal) set of circumstances. After a bit of rest (and a tiny pity party), he sets out to fix things, but that proves more difficult than expected when instead of just letting him take care of things, everyone keeps trying to take care of him."
Cat Scratch Fever 🐈,murderlight,Bleach (Anime & Manga),https://archiveofourown.org/works/15722286,"6,274","Summary: It started with a liquor-fuelled night of fun and ended with Ichigo on all fours. Curious about the Shihouin family secret, Ichigo engrosses himself in a new form of training, and accidentally endears himself to Grimmjow Jaegerjaquez. The only problem is that Ichigo is living a double life, and Grimmjow has no idea the shinigami he detests is also his newfound stray friend."
Protégé,blackkat,Bleach (Anime & Manga),https://archiveofourown.org/works/1074965,"6,191","Summary: Yamamoto Genryūsai Shigekuni is a wise and terrifying warrior, the titan who has ruled the Gotei 13 for over a thousand years. But, at heart, he’s an old man who likes his tea prepared a certain way and has a soft spot for talented youngsters. It started with Ukitake and Kyoraku, and his latest fledgling seems to be one Kurosaki Ichigo, substitute soul reaper. (Alternatively, a story in which Yamamoto is a crafty old man, Ichigo grows up to be utterly terrifying, and Aizen doesn’t stand a chance.)"
