ID,Title,Author,Fandom,Url,Kudos,Average_Sentiment
0,There May Be Some Collateral Damage,metisket,Bleach (Anime & Manga),https://archiveofourown.org/works/5030443,"14,924",0.6369
1,Retorta (iterum est),Adain (pocketTherapist),Bleach (Anime & Manga),https://archiveofourown.org/works/14865290,"9,158",-0.6711
2,Second Chances,glacis,Bleach (Anime & Manga),https://archiveofourown.org/works/4591674,"8,266",0.624
3,Castle Toppler,Saturn_Effervescent,Bleach (Anime & Manga),https://archiveofourown.org/works/35841298,"7,016",0.8176
4,Cat Dandy ,murderlight,Bleach (Anime & Manga),https://archiveofourown.org/works/13916556,"6,929",-0.8736
5,The Unfought,Glaux_Bryonia,Bleach (Anime & Manga),https://archiveofourown.org/works/10745001,"6,640",-0.5859
6,Bromance,blackkat,Bleach (Anime & Manga),https://archiveofourown.org/works/2042229,"6,388",-0.296
7,certum est quia impossible est (it is certain because it is impossible),sinequanon,Bleach (Anime & Manga),https://archiveofourown.org/works/10657428,"6,348",0.4516
8,Cat Scratch Fever ,murderlight,Bleach (Anime & Manga),https://archiveofourown.org/works/15722286,"6,274",0.3612
9,Protege,blackkat,Bleach (Anime & Manga),https://archiveofourown.org/works/1074965,"6,191",0.8519
10,he's the one I dream of,seventies,Blue Lock (Manga),https://archiveofourown.org/works/32007229,"6,697",-0.1531
11,Blue Lock React!,Dreamquillz,Blue Lock (Manga),https://archiveofourown.org/works/46020880,"5,229",0.4215
12,Last Song Syndrome,sylphid187,Blue Lock (Manga),https://archiveofourown.org/works/45937093,"4,015",0.6486
13,You're Cute,blue0rangeade,Blue Lock (Manga),https://archiveofourown.org/works/46969306,"3,873",0.6908
14,Blue Lock Prison Blues,kaspbro,Blue Lock (Manga),https://archiveofourown.org/works/47628259,"3,685",0.5222
15,the goodest boy(tm) isagi yoichi,retrosas,Blue Lock (Manga),https://archiveofourown.org/works/44114907,"3,641",-0.9757
16,Isagi Harem Assemble,LadyKoushin,Blue Lock (Manga),https://archiveofourown.org/works/45475366,"3,434",0.0
17,Limited Edition Isagi Plushie!,no_3,Blue Lock (Manga),https://archiveofourown.org/works/43826598,"3,397",0.6908
18,every single second without you is a waste,loserikemen,Blue Lock (Manga),https://archiveofourown.org/works/44118924,"3,304",-0.7783
19,Yesterday Upon The Stair,PitViperOfDoom,僕のヒーローアカデミア | Boku no Hero Academia | My Hero Academia (Anime & Manga),https://archiveofourown.org/works/8337607,"88,340",-0.5147
20,Hero Class Civil Warfare,RogueDruid (Icarius51),僕のヒーローアカデミア | Boku no Hero Academia | My Hero Academia (Anime & Manga),https://archiveofourown.org/works/14446512,"63,220",0.5892
21,Deku? I think he's some pro...,Clouds (myheadinthecoudsnotcomingdown),僕のヒーローアカデミア | Boku no Hero Academia | My Hero Academia (Anime & Manga),https://archiveofourown.org/works/22080895,"63,004",0.891
22,"count your blessings, not your flaws",PitViperOfDoom,僕のヒーローアカデミア | Boku no Hero Academia | My Hero Academia (Anime & Manga),https://archiveofourown.org/works/10998828,"62,321",0.25
23,Viridian: The Green Guide,Clouds (myheadinthecoudsnotcomingdown),僕のヒーローアカデミア | Boku no Hero Academia | My Hero Academia (Anime & Manga),https://archiveofourown.org/works/23529571,"61,516",0.2297
24,Cheat Code: Support Strategist,Clouds (myheadinthecoudsnotcomingdown),僕のヒーローアカデミア | Boku no Hero Academia | My Hero Academia (Anime & Manga),https://archiveofourown.org/works/25069339,"45,024",0.9413
25,Mastermind: Strategist For Hire,Clouds (myheadinthecoudsnotcomingdown),僕のヒーローアカデミア | Boku no Hero Academia | My Hero Academia (Anime & Manga),https://archiveofourown.org/works/22055713,"41,880",-0.2741
26,What The Fuck Did You Just Call Me?,reading_raindrop,僕のヒーローアカデミア | Boku no Hero Academia | My Hero Academia (Anime & Manga),https://archiveofourown.org/works/16122836,"39,785",-0.9468
27,Complicated Creation,Elemental,僕のヒーローアカデミア | Boku no Hero Academia | My Hero Academia (Anime & Manga),https://archiveofourown.org/works/24798505,"38,692",0.8583
28,The Way You Used To Do,edema_ruh,僕のヒーローアカデミア | Boku no Hero Academia | My Hero Academia (Anime & Manga),https://archiveofourown.org/works/16392173,"36,593",-0.9633
29,I Was Screaming Your Name Through The Radio,ElectricSplatter,文豪ストレイドッグス | Bungou Stray Dogs,https://archiveofourown.org/works/22133044,"23,643",0.953
30,Coil,Allegory_for_Hatred,文豪ストレイドッグス | Bungou Stray Dogs,https://archiveofourown.org/works/50225803,"23,089",0.8425
31,Everything or Nothing,Wellthathappened (Cataclysmic_Calamity),文豪ストレイドッグス | Bungou Stray Dogs,https://archiveofourown.org/works/26188642,"20,804",-0.6486
32,Magic and Mystery,Allegory_for_Hatred,文豪ストレイドッグス | Bungou Stray Dogs,https://archiveofourown.org/works/23969512,"19,327",0.6129
33,still still still,icedlightroast,文豪ストレイドッグス | Bungou Stray Dogs,https://archiveofourown.org/works/16096616,"15,715",-0.9571
34,extraordinary,setosdarkness,文豪ストレイドッグス | Bungou Stray Dogs,https://archiveofourown.org/works/18116567,"15,657",-0.8957
35,Mark,Raven_Rein,文豪ストレイドッグス | Bungou Stray Dogs,https://archiveofourown.org/works/10405311,"15,589",0.802
36,Full Tacit Understanding,setosdarkness,文豪ストレイドッグス | Bungou Stray Dogs,https://archiveofourown.org/works/18083978,"14,102",-0.9153
37,"Two Sides, Same Coin",Yellow_Canna,文豪ストレイドッグス | Bungou Stray Dogs,https://archiveofourown.org/works/20927198,"11,371",-0.8363
38,Powdered Sugar,purplezipper,文豪ストレイドッグス | Bungou Stray Dogs,https://archiveofourown.org/works/38835999,"11,186",0.4588
39,The Trajectory of Laughter,PKSamurai,ダイヤのA | Daiya no A | Ace of Diamond,https://archiveofourown.org/works/2525621,"4,743",-0.4188
40,crossfire,kittebasu,ダイヤのA | Daiya no A | Ace of Diamond,https://archiveofourown.org/works/10693503,"4,177",-0.3612
41,Unkept Promises,kazuyaceijun,ダイヤのA | Daiya no A | Ace of Diamond,https://archiveofourown.org/works/32854087,"3,893",-0.1531
42,"he who wears the crown, (must bear its weight)",vivi_writ3s,ダイヤのA | Daiya no A | Ace of Diamond,https://archiveofourown.org/works/39006441,"3,836",0.6486
43,only fools rush in,drunkonwriting,ダイヤのA | Daiya no A | Ace of Diamond,https://archiveofourown.org/works/4594179,"3,798",0.9349
44,The path we walk,WindsOfTime,ダイヤのA | Daiya no A | Ace of Diamond,https://archiveofourown.org/works/21521578,"3,766",0.8689
45,On the amazingness of social networks,Erendyce,ダイヤのA | Daiya no A | Ace of Diamond,https://archiveofourown.org/works/3845866,"3,453",-0.5719
46,Some Stories are Meant to be Told,Jinniett,ダイヤのA | Daiya no A | Ace of Diamond,https://archiveofourown.org/works/33653044,"3,340",0.0
47,Bet,arbitraryallegory,ダイヤのA | Daiya no A | Ace of Diamond,https://archiveofourown.org/works/1207585,"3,246",-0.802
48,I'd Trade My Life for Yours,grayimperia,Dangan Ronpa Series,https://archiveofourown.org/works/10517349,"8,169",-0.7264
49,And Again,Riona,Dangan Ronpa Series,https://archiveofourown.org/works/663904,"6,946",-0.1531
50,Let It All Out,taitofan,Dangan Ronpa Series,https://archiveofourown.org/works/9679244,"6,487",0.743
51,Reaching,kokichiouma,Dangan Ronpa Series,https://archiveofourown.org/works/9670451,"6,383",0.7184
52,Three-Point Shot,RandomRex6,Dangan Ronpa Series,https://archiveofourown.org/works/10033658,"5,797",0.6915
53,The Lion's Den,Arcawolf,Dangan Ronpa Series,https://archiveofourown.org/works/7685368,"5,534",-0.9299
54,Intertwined feelings,AtroceIronie,Dangan Ronpa Series,https://archiveofourown.org/works/7782124,"5,227",-0.7906
55,i can't take you anywhere,dimolto,Dangan Ronpa Series,https://archiveofourown.org/works/28646001,"4,810",-0.533
56,cops and robbers,andreabandrea,Dangan Ronpa Series,https://archiveofourown.org/works/15345666,"4,718",0.9808
57,Affinity,Nyx_xy,Dangan Ronpa Series,https://archiveofourown.org/works/9820907,"4,711",-0.8361
58,And Again,Riona,Dangan Ronpa: Trigger Happy Havoc,https://archiveofourown.org/works/663904,"6,946",-0.1531
59,Reaching,kokichiouma,Dangan Ronpa: Trigger Happy Havoc,https://archiveofourown.org/works/9670451,"6,383",0.7184
60,The Lion's Den,Arcawolf,Dangan Ronpa: Trigger Happy Havoc,https://archiveofourown.org/works/7685368,"5,534",-0.9299
61,Intertwined feelings,AtroceIronie,Dangan Ronpa: Trigger Happy Havoc,https://archiveofourown.org/works/7782124,"5,227",-0.7906
62,Affected,Laurea,Dangan Ronpa: Trigger Happy Havoc,https://archiveofourown.org/works/5114351,"4,676",-0.6908
63,Extra Life,The_Apocryphal_One,Dangan Ronpa: Trigger Happy Havoc,https://archiveofourown.org/works/8222090,"4,296",0.0232
64,Remember Me,Laurea,Dangan Ronpa: Trigger Happy Havoc,https://archiveofourown.org/works/4955695,"3,684",-0.4939
65,And There Was Only One Bed One-Shots,Princess_Piggles,Dangan Ronpa: Trigger Happy Havoc,https://archiveofourown.org/works/17041409,"3,667",0.3612
66,White Like Snow,FallFromtheStars,Dangan Ronpa: Trigger Happy Havoc,https://archiveofourown.org/works/26796337,"3,323",-0.1779
67,Dangan Ronpa: Third Base,BardsAmbrosia,Dangan Ronpa: Trigger Happy Havoc,https://archiveofourown.org/works/15638364,"3,309",-0.5574
68,Would Kira have gay sex?,itiaskia,Death Note (Anime & Manga),https://archiveofourown.org/works/40474977,"17,591",0.0
69,Pictures on Skin,Shadow_of_Quill,Death Note (Anime & Manga),https://archiveofourown.org/works/2834570,"13,302",-0.0516
70,Back Again,Brenna1918,Death Note (Anime & Manga),https://archiveofourown.org/works/30961484,"10,550",-0.5994
71,Interested in Learning More,Shadow_of_Quill,Death Note (Anime & Manga),https://archiveofourown.org/works/214314,"9,328",0.25
72,See Me,Shadow_of_Quill,Death Note (Anime & Manga),https://archiveofourown.org/works/608880,"6,029",0.0
73,Achromatic,jcrycolr3wradc,Death Note (Anime & Manga),https://archiveofourown.org/works/2537267,"5,727",0.5994
74,Of Narcolepsy and Insomnia,NocturneProductions,Death Note (Anime & Manga),https://archiveofourown.org/works/6959488,"5,082",0.9721
75,Primitive Liars,Nilahxapiel,Death Note (Anime & Manga),https://archiveofourown.org/works/3907021,"5,018",-0.0181
76,Is This The Way It Ends Now?,Seastar98,Death Note (Anime & Manga),https://archiveofourown.org/works/13862307,"4,938",0.184
77,my best laid plan,astralpenguin,Death Note (Anime & Manga),https://archiveofourown.org/works/25953601,"4,930",0.6249
78,fuwafuwa,Esselle,鬼滅の刃 | Demon Slayer: Kimetsu no Yaiba (Anime),https://archiveofourown.org/works/20640620,"15,225",0.6369
79,"little bunny, why are your eyes so red?",elreee,鬼滅の刃 | Demon Slayer: Kimetsu no Yaiba (Anime),https://archiveofourown.org/works/27796777,"7,561",-0.5376
80,to be special,frogsterz,鬼滅の刃 | Demon Slayer: Kimetsu no Yaiba (Anime),https://archiveofourown.org/works/20199310,"7,176",-0.7193
81,salvation,tamagoyaki,鬼滅の刃 | Demon Slayer: Kimetsu no Yaiba (Anime),https://archiveofourown.org/works/18519553,"7,095",0.5994
82,Tempura,pearliegloom,鬼滅の刃 | Demon Slayer: Kimetsu no Yaiba (Anime),https://archiveofourown.org/works/20803499,"6,868",0.6249
83,cold affections,ULS,鬼滅の刃 | Demon Slayer: Kimetsu no Yaiba (Anime),https://archiveofourown.org/works/31541180,"6,655",-0.1672
84,enbu,novalotypo,鬼滅の刃 | Demon Slayer: Kimetsu no Yaiba (Anime),https://archiveofourown.org/works/21334381,"6,432",0.1655
85,so full of love ( i could barely eat ),grenades,鬼滅の刃 | Demon Slayer: Kimetsu no Yaiba (Anime),https://archiveofourown.org/works/21750760,"6,209",-0.9302
86,The Past Breathes Again,vama_ch,鬼滅の刃 | Demon Slayer: Kimetsu no Yaiba (Anime),https://archiveofourown.org/works/36289702,"5,845",0.1648
87,Sunlight from the Ashes,DAsObiQuiet,鬼滅の刃 | Demon Slayer: Kimetsu no Yaiba (Anime),https://archiveofourown.org/works/31519247,"5,834",-0.9403
88,fuwafuwa,Esselle,鬼滅の刃 | Demon Slayer: Kimetsu no Yaiba (Manga),https://archiveofourown.org/works/20640620,"15,225",0.6369
89,Blue,KuriKuri,鬼滅の刃 | Demon Slayer: Kimetsu no Yaiba (Manga),https://archiveofourown.org/works/20829353,"8,236",-0.6764
90,"little bunny, why are your eyes so red?",elreee,鬼滅の刃 | Demon Slayer: Kimetsu no Yaiba (Manga),https://archiveofourown.org/works/27796777,"7,561",-0.5376
91,to be special,frogsterz,鬼滅の刃 | Demon Slayer: Kimetsu no Yaiba (Manga),https://archiveofourown.org/works/20199310,"7,176",-0.7193
92,salvation,tamagoyaki,鬼滅の刃 | Demon Slayer: Kimetsu no Yaiba (Manga),https://archiveofourown.org/works/18519553,"7,095",0.5994
